filter,filter_label,d_p_mm,porosity,thickness_mm,U_mps,Cp_holes,top,Darcy_d_1pm2,Forch_f_1pm,Q_filter_Lpm,Q_top_Lpm,Q_holes_Lpm,V_face_mps,dp_filter_Pa,q_Pa,residence_ms,Re_particle
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,9.405199042818923,-55.60229908592483,65.00749812874375,0.17265097098359794,1.725374674583873,9.6,23.457730801784805,45.78589285752874
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.6,capped,31121399.176954735,5281.207133058984,17.524144664367878,0.0,17.52414466436787,0.3216902245434383,4.582092684619573,9.6,12.589751540470333,85.31011479604994
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-6.359634140306022,-68.20023598109803,61.84060184079206,-0.11674362280111643,-0.9805333180143302,21.599999999999998,inf,30.95963477598668
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.1,capped,31121399.176954735,5281.207133058984,9.43891419902061,0.0,9.438914199020617,0.1732698791458371,1.734617960356486,21.599999999999998,23.373941391112833,45.95002319889603
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,5.453714850270173,-74.11404348295466,79.56775833322483,0.10011368819309963,0.7933779524434481,21.599999999999998,40.45400856862196,26.54948637165073
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.3,capped,31121399.176954735,5281.207133058984,18.807665953516192,0.0,18.807665953516203,0.3452517882956455,5.149687788299112,21.599999999999998,11.730569217303835,91.55848529387285
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,15.488398189792717,-83.00485617608761,98.49325436588035,0.284320084484553,3.746788133487214,21.599999999999998,14.244508991836751,75.3998014102682
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,6,0.6,capped,31121399.176954735,5281.207133058984,28.166594343831402,0.0,28.166594343837485,0.5170533702289489,10.245553190214425,21.599999999999998,7.83284711635605,137.11912580657207
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,1,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-0.21252289075087563,-11.158781811475704,10.946258920725441,-0.0039012766531926987,-0.040424518053250945,0.6,inf,1.0345927036091134
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,1,0.1,capped,31121399.176954735,5281.207133058984,0.283601281554634,0.0,0.28360128164600934,0.005206060648975358,0.054331959345761606,0.6,1555.8789161617274,1.3806127687890453
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,1,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,0.18439133967347948,-12.544034334507,12.72842567418048,0.003384866571207724,0.034973844819472924,0.6,2393.004223238823,0.897644173579949
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,1,0.3,capped,31121399.176954735,5281.207133058984,0.8069664773700023,0.0,0.8069664773742319,0.014813460643931943,0.16271501809475453,0.6,546.7999810913875,3.928431551981952
