filter,filter_label,d_p_mm,porosity,thickness_mm,U_mps,Cp_holes,top,Darcy_d_1pm2,Forch_f_1pm,Q_filter_Lpm,Q_top_Lpm,Q_holes_Lpm,V_face_mps,dp_filter_Pa,q_Pa,residence_ms,Re_particle
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,4,0.6,capped,31121399.176954735,5281.207133058984,12.521545579574894,0.0,12.521545579577074,0.2298576556101287,5.344133365983259,9.6,35.239200445595564,60.95672634964739
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,6,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-4.591393035821082,-67.77477294755263,63.18337991173217,-0.08428407120284069,-1.2597658228443325,21.599999999999998,inf,22.351576893571014
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,6,0.1,capped,31121399.176954735,5281.207133058984,6.492636895101422,0.0,6.492636895111474,0.11918515058318417,2.01867699891166,21.599999999999998,67.96148648020274,31.607111756866523
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,6,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,3.9874044017748447,-74.50731096247,78.49471536424485,0.07319666904831007,1.0477571016437202,21.599999999999998,110.66077330177374,19.411271349828084
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,6,0.3,capped,31121399.176954735,5281.207133058984,13.488170930789163,0.0,13.488170930789146,0.2476019696543836,6.007278025839735,21.599999999999998,32.71379468954316,65.66240079232273
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,6,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,11.56163748720595,-84.12754942524653,95.68918691245247,0.21223665009520026,4.721140933810417,21.599999999999998,38.16494463310973,56.28375251143433
F1,coarse granules d_p=4 mm,4.0,0.45,18.0,6,0.6,capped,31121399.176954735,5281.207133058984,20.571235900144554,0.0,20.57123590014457,0.37762559158217535,11.962422245885504,21.599999999999998,21.4498174397096,100.1438032925106
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,1,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-0.1188740481236688,-11.135047094468908,11.016173046345717,-0.002182167516058331,-0.044794732697767015,0.6,inf,0.5786963578497232
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,1,0.1,capped,31121399.176954735,5281.207133058984,0.15466488590624533,0.0,0.1546648859070602,0.0028391789059657394,0.058494411704368164,0.6,5705.875021105657,0.7529314225765498
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,1,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,0.1034525132091069,-12.564954317206361,12.668406830415467,0.0018990748388130285,0.038922182432252386,0.6,8530.469504890825,0.5036220567017976
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,1,0.3,capped,31121399.176954735,5281.207133058984,0.4501625812401218,0.0,0.4501625812401546,0.008263621683895304,0.1753653625164879,0.6,1960.3995221092512,2.1914576841269313
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,1,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,0.42049440424309636,-14.430541684706183,14.851036088949277,0.00771900380366441,0.16332826882748117,0.6,2098.7164162698614,2.0470286330159757
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,1,0.6,capped,31121399.176954735,5281.207133058984,0.8642246556551126,0.0,0.8642246556551082,0.01586454739208792,0.35042305969765974,0.6,1021.1447953491178,4.207172789061991
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,2,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-0.44527995505414947,-22.32267382777302,21.877393872719047,-0.008173991454049003,-0.17337971150570547,2.4,inf,2.1676883414052606
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,2,0.1,capped,31121399.176954735,5281.207133058984,0.5917633106832696,0.0,0.5917633106854968,0.010862982241714803,0.23374843896670502,2.4,1491.3031835576958,2.8807908707309973
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,2,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,0.38720189237665004,-25.08329534956591,25.47049724194257,0.007107854111450969,0.14990127110321397,2.4,2279.1688948569313,1.8849557864621356
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,2,0.3,capped,31121399.176954735,5281.207133058984,1.6117710462333645,0.0,1.6117710462377945,0.029587235194975286,0.6998517321665118,2.4,547.53341747698,7.846338615242064
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,2,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,1.4687775380338988,-28.695435593402497,30.164213131436394,0.026962307437190226,0.6296886195684175,2.4,600.8387834660867,7.15022517671343
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,2,0.6,capped,31121399.176954735,5281.207133058984,2.889971528457084,0.0,2.8899715284570755,0.05305112504599595,1.3968606146754925,2.4,305.36581431504817,14.068806642032074
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,4,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-1.5271126442659226,-44.80518626889077,43.278073624624895,-0.028033163320998467,-0.6581222646050944,9.6,inf,7.434209057502356
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,4,0.1,capped,31121399.176954735,5281.207133058984,2.0646034122796584,0.0,2.0646034122796757,0.037899866042526174,0.9324161363237681,9.6,427.4421440387816,10.050793204647825
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,4,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,1.33122343019483,-50.0216659342126,51.35288936440743,0.024437230596915323,0.5636779133131945,9.6,662.922909195975,6.480591539513456
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,4,0.3,capped,31121399.176954735,5281.207133058984,4.95281378282196,0.0,4.952813782822024,0.09091866156283551,2.7866720546279247,9.6,178.18124157936367,24.11102627080721
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,4,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,4.431969595054685,-56.98981656427748,61.421786159332186,0.08135753964082339,2.4048873556140338,9.6,199.12106574903356,21.57548012574322
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,4,0.6,capped,31121399.176954735,5281.207133058984,8.120869934976344,0.0,8.120869934976367,0.14907457812662556,5.558133566932048,9.6,108.67044001452443,39.53358977943661
